trialNb	groupNb	indexInGroup	cue	association	assoNb	timeToFirstKeypress	timeToSubmission	list	load	original_pattern	reproduced_pattern	correct	hits	misses	falseAlarms
60	12	5	toveren	__UNKNOWN__	1	-1	-1	1	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
60	12	5	toveren	__UNKNOWN__	2	-1	-1	1	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
60	12	5	toveren	__UNKNOWN__	3	-1	-1	1	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
61	13	1	lanceren	__UNKNOWN__	1	-1	-1	1	LOW_LOAD	0100010001000100	0000000000000000	0	0	4	0
61	13	1	lanceren	__UNKNOWN__	2	-1	-1	1	LOW_LOAD	0100010001000100	0000000000000000	0	0	4	0
61	13	1	lanceren	__UNKNOWN__	3	-1	-1	1	LOW_LOAD	0100010001000100	0000000000000000	0	0	4	0
62	13	2	koning	__UNKNOWN__	1	-1	-1	1	LOW_LOAD	0100010001000100	0000000000000000	0	0	4	0
62	13	2	koning	__UNKNOWN__	2	-1	-1	1	LOW_LOAD	0100010001000100	0000000000000000	0	0	4	0
62	13	2	koning	__UNKNOWN__	3	-1	-1	1	LOW_LOAD	0100010001000100	0000000000000000	0	0	4	0
63	13	3	uniek	__UNKNOWN__	1	-1	-1	1	LOW_LOAD	0100010001000100	0000000000000000	0	0	4	0
63	13	3	uniek	__UNKNOWN__	2	-1	-1	1	LOW_LOAD	0100010001000100	0000000000000000	0	0	4	0
63	13	3	uniek	__UNKNOWN__	3	-1	-1	1	LOW_LOAD	0100010001000100	0000000000000000	0	0	4	0
64	13	4	pedicure	__UNKNOWN__	1	-1	-1	1	LOW_LOAD	0100010001000100	0000000000000000	0	0	4	0
64	13	4	pedicure	__UNKNOWN__	2	-1	-1	1	LOW_LOAD	0100010001000100	0000000000000000	0	0	4	0
64	13	4	pedicure	__UNKNOWN__	3	-1	-1	1	LOW_LOAD	0100010001000100	0000000000000000	0	0	4	0
65	13	5	geeuw	__UNKNOWN__	1	-1	-1	1	LOW_LOAD	0100010001000100	0000000000000000	0	0	4	0
65	13	5	geeuw	__UNKNOWN__	2	-1	-1	1	LOW_LOAD	0100010001000100	0000000000000000	0	0	4	0
65	13	5	geeuw	__UNKNOWN__	3	-1	-1	1	LOW_LOAD	0100010001000100	0000000000000000	0	0	4	0
66	14	1	zenuwachtig	__UNKNOWN__	1	-1	-1	1	LOW_LOAD	0010001000100010	0000000000000000	0	0	4	0
66	14	1	zenuwachtig	__UNKNOWN__	2	-1	-1	1	LOW_LOAD	0010001000100010	0000000000000000	0	0	4	0
66	14	1	zenuwachtig	__UNKNOWN__	3	-1	-1	1	LOW_LOAD	0010001000100010	0000000000000000	0	0	4	0
67	14	2	oorlog	__UNKNOWN__	1	-1	-1	1	LOW_LOAD	0010001000100010	0000000000000000	0	0	4	0
